Série,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Indice du prix des logements, Paris (€, base 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,0157904721124E-05","8,16478286006988E-05","8,31377524802736E-05","8,16478286006988E-05","8,7309539343083E-05","9,44611739650421E-05","9,32692348613822E-05","9,44611739650421E-05","9,74410217241917E-05","8,46276763598484E-05","8,61176002394232E-05","9,02893871022326E-05","9,02893871022326E-05","9,17793109818074E-05","0,000106082580226","0,000108764443209","0,00011889592559","0,000134689118714","0,000140350829456","0,00015316417482","0,000151972235717","0,000148992387957","0,000150482311837","0,000159123870339","0,00015316417482","0,000163295657201","0,000176109002566","0,000174917063462","0,000194882043448","0,00020352360195","0,000190710256586","0,000174917063462","0,000170447291823","0,000164785581081","0,000146012540198","0,000150482311837","0,000159123870339","0,000168957367944","0,000176109002566","0,000200543754191","0,000217826871194","0,000230640216558","0,000223488581936","0,000227958353575","0,000214847023435","0,000214847023435","0,000212165160451","0,000213357099555","0,000212165160451","0,000221998658057","0,000224978505816","0,000224978505816","0,000224978505816","0,000232130140438","0,000226468429695","0,000217826871194","0,000219316795073","0,000224978505816","0,000224978505816","0,000233620064317","0,000246433409682","0,000246433409682","0,000247923333561","0,000252095120424","0,00025090318132","0,000247923333561","0,00025090318132","0,000253585044304","0,000256564892063","0,000262226602805","0,00027503994817","0,000283681506671","0,00028666135443","0,000289343217413","0,000297984775915","0,000314463196703","0,000350166441743","0,000332314819223","0,000324075608829","0,000326822012294","0,000324075608829","0,000344673634814","0,000380376879855","0,000440797756077","0,000484740211511","0,000546534289466","0,000606955165689","0,000638538805532","0,000648151217658","0,000679734857502","0,000784098189159","0,00083216024979","0,000869236696563","0,000863743889634","0,000847265468846","0,000803323013411","0,000767619768371","0,000749768145851","0,000747021742386","0,000771739373568","0,000869236696563","0,00103264770271","0,001259225988544","0,001359469715004","0,001373201732327","0,00150214154015","0,001643188435847","0,001797479241158","0,001966257522211","0,002150883612519","0,002352845577116","0,003275570937646","0,004144239438744","0,005124086286976","0,006694986929296","0,008900231378805","0,012774658871806","0,019145358601267","0,022781725628183","0,024489395076044","0,030023110530498","0,037208982128065","0,044495653785398","0,05790580408855","0,068273763222512","0,082808691987686","0,087771052543383","0,084448959701079","0,097984592632971","0,112167238965476","0,116475417358801","0,123425588418143","0,134448051357365","0,148112550035446","0,174720448948121","0,187970014073225","0,21695295710988","0,242734701409183","0,252830791785553","0,290016348241623","0,339847831353659","0,38683140423469","0,395464379313651","0,411616592401707","0,438968152798324","0,485771917405218","0,543155355764778","0,635372612611315","0,787057804853027","0,96438731027554","1,13372690900377","1,15207031873457","1,036188582867","0,966302374428343","0,955484171224809","0,893361996704106","0,82042418220602","0,791075982204828","0,802375792302294","0,879910213243547",1,"1,093","1,190","1,340","1,520","1,737","1,933","2,113","2,262","2,148","2,392","2,842","2,906","2,872","2,822","2,776"
"Valeur d'un investissement en logement locatif, Paris (€, base 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,14682089859438E-07","5,42309038186975E-07","5,71228657263329E-07","5,8031774464035E-07","6,41937005278689E-07","7,18445051297068E-07","7,3381762232606E-07","7,68798567714428E-07","8,20371491570052E-07","7,37039309495773E-07","7,75853382611211E-07","8,41460913797843E-07","8,70449242278178E-07","9,15294902151141E-07","1,09438423670379E-06","1,16039735552668E-06","1,31183978116595E-06","1,53688145706931E-06","1,65665603530527E-06","1,87018281860057E-06","1,91955528116283E-06","1,9467489809793E-06","2,03341191867831E-06","2,22366458161097E-06","2,21382309606685E-06","2,44124927193726E-06","2,72314534819368E-06","2,79752010359348E-06","3,22377435765727E-06","3,48224533448454E-06","3,37497382374142E-06","3,20127196296326E-06","3,22607554901906E-06","3,22550464080674E-06","2,9553155492147E-06","3,14944766435872E-06","3,44365403512575E-06","3,78091187213442E-06","4,07508071913966E-06","4,79842861171351E-06","5,38935249282932E-06","5,90058964050646E-06","5,91222500864447E-06","6,23571653854996E-06","6,07708671611423E-06","6,28392036249718E-06","6,41668382458912E-06","6,67235136450597E-06","6,86090045859807E-06","7,42322520821813E-06","7,77890655305473E-06","8,04366163758795E-06","8,31742766142325E-06","8,87390504894617E-06","8,952125275402E-06","8,903590444788E-06","9,26959695094966E-06","9,83252880543111E-06","1,0167178923324E-05","1,09170378604712E-05","1,19077443556522E-05","1,23130244347968E-05","1,28090758406699E-05","1,34679058839223E-05","1,38604407365177E-05","1,41611431629097E-05","1,4818256799969E-05","1,54854782905113E-05","1,61997477963413E-05","1,71197655289144E-05","1,85663648027578E-05","1,98003179942348E-05","2,06880866741193E-05","2,15910877866167E-05","2,29913954625818E-05","2,58237457045594E-05","3,04383462240387E-05","3,07065216833828E-05","3,18680523118686E-05","3,4129825608405E-05","3,6086920152447E-05","4,04265604841047E-05","4,68785516535407E-05","5,64758776116937E-05","6,45684510910641E-05","7,54942052629277E-05","8,69378891011407E-05","9,459946213842E-05","9,900287956899E-05","0,000107348822317","0,00012770559419","0,000139865307346","0,000151008488918","0,000155706765432","0,000158934927824","0,000160014121398","0,000163386739423","0,000167327938148","0,000183261382498","0,000203545085515","0,000247155463506","0,000312290576851","0,000399812186026","0,000451604256234","0,000471830895921","0,000516134499399","0,000564598087521","0,000617612271226","0,000675604338733","0,000739041699428","0,000808435651135","0,001125483265698","0,001423956991359","0,001760631498376","0,002300391564228","0,003058111598976","0,004389361445352","0,00657832821566","0,007827780697269","0,008414534403264","0,010315914119863","0,01324535127463","0,016402418147321","0,022095194836934","0,026954160253454","0,033810750099459","0,037109853906846","0,037208386035769","0,044851951392955","0,053227010031536","0,057344257011071","0,062978715793549","0,070910042481426","0,080618108576638","0,097638888720799","0,107830186951472","0,127559516032728","0,146061272418534","0,155635164868345","0,182386581920123","0,218117904085102","0,253275923667957","0,264440093075372","0,281619589323308","0,307562250704943","0,348136641754999","0,397648298760991","0,474212944485666","0,596921639820131","0,741232486657248","0,882167178613249","0,908613171854075","0,832069901583738","0,793436074283472","0,803658172902015","0,771850518654955","0,730545849574005","0,726308591995992","0,759841711747927","0,858063258150677",1,"1,119","1,246","1,434","1,659","1,930","2,183","2,423","2,632","2,542","2,876","3,460","3,585","3,594","3,585","3,584"
"Indice des loyers (€, base 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,013047499253542","0,017731216934301","0,02124400519487","0,027098652295818","0,030611440556387","0,034124228816956","0,037971568340437","0,042320734758284","0,045164420493031","0,052189997014169","0,059382849166762","0,069586662685558","0,07878682241562","0,08497602077948","0,094845283035364","0,099696276347579","0,109398262972007","0,11893297396498","0,131478646324156","0,142351562368774","0,155566337253772","0,167275631455669","0,176308515554275","0,184505021495603","0,19889072580079","0,212941878843066","0,233684057143569","0,257437196810274","0,279684855793878","0,301430687883115","0,332878506596781","0,374195587566331","0,422841013949954","0,463628332994684","0,50890599909021","0,548196535784675","0,58337092101591","0,615551741546614","0,650351931190283","0,692636032585278","0,730803982517044","0,765978367748279","0,804326450344149","0,845624385447394","0,882005899705015","0,906588003933137","0,930186823992134","0,950835791543756","0,963618485742379","0,983284169124877","1,00098328416912",1,"1,004","1,030","1,058","1,088","1,127","1,166","1,202","1,229","1,254","1,274","1,289","1,310","1,331","1,345","1,353"
"Indice du coût de la construction (ICC) (€, base 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000379782151115",,,"0,000900083698143","0,001055794380101","0,001203909419036","0,001526724247484","0,001431778709705","0,001367215744015","0,001484948210861","0,001591287213173","0,001720413144552","0,002244512513092","0,002350851515404","0,00236984062296","0,002681261986874","0,003004076815322","0,002966098600211","0,002814185739765","0,002548338233984","0,002483775268294","0,0020090475794","0,002195140833447","0,003353476394348","0,003710471616397","0,004006701694267","0,004234570984936","0,00474347906743","0,005882825520776","0,007269030372347","0,009471766848816","0,015962243811377","0,019338507134792","0,023918679877243","0,046322028971535","0,051999772130709","0,055338057239013","0,080209990315555","0,093882147755707","0,090084326244553","0,089981785063752","0,09408014571949","0,10591985428051","0,115482695810565","0,126138433515483","0,129326047358834","0,12959927140255","0,131876138433515","0,138706739526412","0,152094717668488","0,162386156648452","0,171493624772313","0,175774134790528","0,178779599271403","0,186976320582878","0,197632058287796","0,203096539162113","0,215209471766849","0,227868852459016","0,246812386156648","0,285974499089253","0,323132969034608","0,360655737704918","0,394626593806922","0,42896174863388","0,474681238615665","0,539617486338798","0,589890710382514","0,654098360655738","0,697632058287796","0,738888888888889","0,762295081967213","0,786885245901639","0,810109289617486","0,83287795992714","0,844535519125683","0,864754098360656","0,902094717668488","0,915573770491803","0,926047358834244","0,927413479052823","0,92695810564663","0,943306010928962","0,965846994535519","0,966985428051002","0,976775956284153",1,"1,036","1,062","1,093","1,146","1,174","1,256","1,306","1,406","1,368","1,384","1,459","1,496","1,482","1,485","1,476"
"Consommation effective des ménages en logement, eau, gaz, électricité et autres combustibles (milliards d'€)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,7","3,0","3,4","4,0","4,8","5,2","5,9","6,7","7,8","9,0",11,12,14,15,17,20,22,26,30,34,39,48,55,63,71,80,88,91,96,102,110,118,128,136,143,148,155,162,166,172,177,183,191,197,207,218,230,243,252,264,267,277,281,294,302,301,307
"Montants de transactions immobilières (toutes transactions soumises aux droits de mutation) (par exception, ce montant inclut les donations à partir de 1970) (milliards d'€)",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,001530740582081","0,001534399358495","0,001606660192665","0,001673280413198","0,001594006924234","0,001482109345582","0,001642485711716","0,001751944106092","0,001695995316766","0,001692031642318","0,001851188416314","0,001857438826021","0,001992813553327","0,001981684775069","0,002023150907758","0,002073306634429","0,002154714409634","0,002214169526356","0,002317834858078","0,002267374233372","0,002291918525147","0,002243897084717","0,001320208489276","0,001730448794662","0,001868415155262","0,001714898994904","0,002035041931102","0,002366466094576","0,002147244407789","0,002512359804073","0,00263721554919","0,002510987762917","0,002620751055328","0,002440403867936","0,002862535196667","0,002928240723096","0,002966200528388","0,002879609486597","0,002725940877222","0,002683255152396","0,00289714112358","0,002977481755664","0,003197465687537","0,003286800811639","0,002249537698355","0,001949518032432","0,003222924673416","0,002809787836703","0,002786463137065","0,002836161516685","0,003031906054818","0,00311895444366","0,003218046304865","0,003408912474446","0,003550842509494","0,003949801587604","0,003522791890322","0,003273690196156","0,002995013392646","0,002793780689893","0,00280109824272","0,002705360259895","0,002700481891343","0,002692554542447","0,002966810324457","0,002980225837974","0,002823813146289","0,002767407009911","0,00288220111989","0,002806281509306","0,002723044345895","0,002821069063978","0,002838295802926","0,002752619455239","0,002707189648102","0,002633251874742","0,002657033921431","0,002862840094701","0,002648496776466","0,002807348652427","0,002776096603893","0,003165756291952","0,002932814193613","0,003073829534558","0,003274757339277","0,003460897589324","0,00380101134678","0,003708474793317","0,002067208673739","0,000442102149988","0,000958599420389",,"0,004195244505356","0,011292356053827",,"0,010881981593306","0,011994854845668","0,014314790451203","0,018193016717051",,"0,016384393760228","0,011322171693842",,,,,,,,,,,,,,,,,,,"0,0780725307862","0,103724551235135","0,133617447485125",,,,,,,,,,,,,,,,,,,,,,"7,1","7,7","9,3","11,4","12,6","13,4","16,5","17,7","21,1","25,1","30,6","33,9","32,8","34,2","35,3","40,1","45,3","56,1","66,0","79,8","100,7","86,2","78,7","75,8","79,7","72,9","83,8","87,3","96,7","120,4","130,9","141,4","152,5","168,5","196,8","223,8","257,2","266,1","251,8","183,8","243,1","288,4","271,1","229,6","228,7","249,8"
Montants de transactions de logements anciens (milliards d'€),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,99",,,"2,48","2,85","3,67","4,28","4,64","5,18","6,97","7,33","8,75","11,14","13,39","13,94","14,49","16,39","17,55","19,48","22,22","27,81","30,75","35,61","39,77","36,83","35,26","35,40","40,96","37,92","46,37","50,80","55,38","66,59","77,23","81,61","90,60","100,89","115,43","131,50","148,07","155,56","129,91","106,37","148,92","160,67","141,52","140,13","133,72","155,59"
Nombre de transactions de logements anciens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238 000,,,239 000,259 000,306 000,323 000,305 000,304 000,353 000,322 000,345 000,388 000,389 000,365 000,359 000,386 000,398 000,428 000,466 000,545 000,544 000,562 000,577 000,508 000,498 000,516 000,559 000,532 000,689 000,589 000,658 000,742 000,793 000,784 000,811 000,814 000,823 000,829 000,821 000,810 000,674 000,594 000,776 000,801 000,708 000,719 000,694 000,802 000
"Nombre de logements commencés (France métropolitaine, hors logements en résidence) (unités)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 000,10 000,20 000,20 000,40 000,80 000,80 000,110 000,80 000,111 000,122 000,199 000,145 000,138 000,117 000,119 000,116 000,86 000,73 000,67 000,57 000,,,,,,,,,61 700,75 575,91 922,138 285,128 498,191 845,269 429,282 412,320 935,305 705,307 634,318 385,337 563,339 326,343 953,377 710,429 377,444 869,425 050,435 805,434 288,499 308,481 737,516 694,558 403,536 350,533 419,505 571,493 105,476 131,440 103,429 132,397 350,398 592,343 954,332 727,282 228,283 549,286 880,301 568,321 903,335 550,305 899,294 772,272 404,252 585,297 200,283 393,272 204,271 006,313 060,323 011,320 100,319 200,325 200,346 700,398 600,448 300,474 400,470 700,383 300,333 600,398 900,414 600,372 200,360 600,327 700,331 700
"Dette immobilière des ménages, en fin d'année (milliards d'€)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 747,13 483,15 991,19 978,25 366,28 944,33 807,41 062,48 135,59 984,73 313,86 732,98 980,111 641,125 586,138 495,151 003,160 913,178 232,194 187,208 862,223 165,231 629,233 094,235 893,239 694,240 499,246 880,254 095,263 489,285 092,305 254,324 636,350 747,385 515,438 052,503 551,578 563,652 923,709 955,737 582,798 113,847 049,874 184,907 012,927 382,964 034
Durée des prêts pour l'achat d'une résidence principale dans l'ancien (années),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,7","11,8","12,0","12,9","12,9","13,7","14,3","13,9","14,1","14,5","14,9","15,0","14,7","15,2","14,0","13,4","14,3","14,2","14,4","13,7","14,8","14,2","14,0","13,8","13,8","13,9","13,1","13,7","13,8","13,6","13,9","14,6","14,9","16,0","15,5","16,9","17,6","18,2","18,6","20,7","21,1","19,9","19,1","20,0","20,6","19,4","19,8","19,6","19,8"
Durée des prêts pour l'achat d'une résidence principale dans le neuf (années),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,6","16,8","16,4","16,1","16,2","16,4","16,3","16,9","17,4","18,0","18,3","18,4","17,9","17,6","17,6","17,6","17,4","17,2","17,3","17,7","17,8","17,7","17,1","16,2","16,1","16,0","14,8","15,3","15,6","15,2","15,5","14,9","14,8","15,8","16,0","16,7","16,9","18,0","17,9","18,9","20,1","20,7","21,0","21,3","21,7","21,9","22,0",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Etats-Unis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indice des prix à la consommation ($, base 2000)","0,099","0,096","0,083","0,087","0,087","0,087","0,091","0,085","0,093","0,091","0,091","0,096","0,099","0,112","0,122","0,106","0,099","0,093","0,089","0,089","0,081","0,077","0,077","0,069","0,064","0,065","0,065","0,065","0,064","0,062","0,062","0,062","0,058","0,056","0,058","0,060","0,064","0,065","0,062","0,062","0,058","0,060","0,056","0,054","0,054","0,054","0,052","0,054","0,051","0,048","0,048","0,048","0,048","0,048","0,052","0,054","0,052","0,054","0,051","0,052","0,052","0,052","0,058","0,072","0,091","0,089","0,085","0,081","0,077","0,077","0,073","0,069","0,069","0,069","0,065","0,064","0,062","0,062","0,056","0,054","0,056","0,056","0,056","0,054","0,052","0,052","0,052","0,052","0,052","0,052","0,052","0,052","0,052","0,052","0,051","0,048","0,048","0,048","0,048","0,048","0,048","0,048","0,051","0,052","0,052","0,052","0,052","0,054","0,052","0,052","0,054","0,054","0,056","0,057","0,058","0,059","0,063","0,074","0,087","0,101","0,116","0,104","0,097","0,099","0,099","0,102","0,103","0,101","0,100","0,100","0,097","0,088","0,079","0,075","0,078","0,080","0,081","0,084","0,082","0,081","0,081","0,086","0,095","0,101","0,102","0,104","0,113","0,130","0,140","0,138","0,140","0,151","0,154","0,155","0,156","0,155","0,158","0,163","0,168","0,169","0,172","0,174","0,176","0,178","0,180","0,183","0,188","0,194","0,202","0,213","0,225","0,235","0,243","0,258","0,286","0,313","0,330","0,352","0,379","0,421","0,479","0,528","0,560","0,578","0,603","0,625","0,637","0,660","0,687","0,720","0,759","0,791","0,815","0,839","0,861","0,885","0,911","0,932","0,947","0,967","1,000","1,028","1,045","1,069","1,097","1,134","1,171","1,204","1,250","1,246","1,266","1,306","1,333","1,353","1,375","1,376"
Produit intérieur brut (milliards de $),,,"0,472","0,470","0,515","0,571","0,587","0,544","0,444","0,484","0,567","0,559","0,548","0,600","0,676","0,783","0,823","0,816","0,786","0,727","0,632","0,585","0,678","0,674","0,724","0,819","0,852","0,837","0,849","0,872","0,899","1,034","1,113","1,251","1,285","1,574","1,827","1,764","1,694","1,862","1,611","1,598","1,462","1,415","1,570","1,721","1,842","2,101","2,061","2,125","2,492","2,577","2,760","3,241","3,494","3,750","3,876","3,833","3,581","3,828","3,700","3,544","3,867","4,911","6,244","6,322","6,631","6,592","6,804","7,141","7,084","7,276","8,211","8,471","8,231","7,922","7,623","7,787","7,729","8,491","10,129","10,862","11,719","11,131","10,572","10,254","10,534","11,565","11,970","12,5","13,1","13,5","14,3","13,8","12,6","13,9","13,3","14,6","15,4","17,4","18,7","20,7","21,6","22,9","22,9","25,1","28,7","30,4","27,7","33,4","35,3","35,8","39,4","39,6","38,6","40,0","48,3","60,4","76,4","84,0","91,5","69,6","74,1","85,1","84,7","93,1","97,0","94,9","97,0","104,6","92,2","77,4","59,5","57,2","66,8","74,3","84,9","93,0","87,4","93,5","102,9","129,4","166,0","203,1","224,6","228,2","227,8","249,9","274,8","272,8","300,2","347,3","367,7","389,7","391,1","426,2","450,1","474,9","482,0","522,5","543,3","563,3","605,1","638,6","685,8","743,7","815,0","861,7","942,5","1 019,9","1 075,9","1 167,8","1 282,4","1 428,5","1 548,8","1 688,9","1 877,6","2 086,0","2 356,6","2 632,1","2 862,5","3 211,0","3 345,0","3 638,1","4 040,7","4 346,7","4 590,2","4 870,2","5 252,6","5 657,7","5 979,6","6 174,0","6 539,3","6 878,7","7 308,8","7 664,1","8 100,2","8 608,5","9 089,2","9 660,6",10 285,10 622,10 978,11 511,12 275,13 094,13 856,14 478,14 719,14 419,14 964,15 518,16 155,16 692,17 393,18 037
Revenu disponible des ménages (milliards de $),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,63,68,70,75,74,77,81,84,75,65,50,46,53,60,68,73,67,72,78,96,122,139,152,156,166,175,195,195,215,237,251,266,272,292,312,330,341,361,377,394,418,438,476,513,554,593,644,696,762,830,900,1 006,1 098,1 219,1 326,1 457,1 630,1 809,2 018,2 251,2 425,2 617,2 904,3 099,3 288,3 466,3 770,4 052,4 312,4 485,4 800,5 000,5 244,5 533,5 830,6 149,6 561,6 876,7 401,7 752,8 099,8 486,9 002,9 401,10 037,10 507,10 994,10 943,11 238,11 801,12 404,12 396,13 023,13 520
Population (milliers),5 304,5 471,5 643,5 821,6 004,6 194,6 389,6 590,6 798,7 012,7 233,7 443,7 659,7 882,8 110,8 346,8 588,8 837,9 094,9 358,9 630,9 912,10 202,10 501,10 809,11 126,11 452,11 787,12 133,12 488,12 854,13 223,13 602,13 992,14 393,14 806,15 230,15 667,16 116,16 578,17 054,17 584,18 132,18 696,19 278,19 878,20 497,21 135,21 793,22 471,23 170,23 886,24 625,25 386,26 170,26 979,27 813,28 673,29 559,30 472,31 414,32 062,32 722,33 397,34 085,34 787,35 504,36 236,36 983,37 745,38 523,39 552,40 608,41 693,42 807,43 950,45 124,46 330,47 567,48 838,50 143,51 294,52 472,53 677,54 909,56 170,57 459,58 779,60 128,61 509,62 921,64 133,65 368,66 626,67 909,69 216,70 549,71 908,73 292,74 703,76 141,77 608,79 102,80 626,82 178,83 761,85 374,87 018,88 694,90 402,92 143,93 436,94 748,96 077,97 426,98 793,100 180,101 586,103 011,104 457,105 923,107 525,109 151,110 801,112 476,114 177,115 903,117 656,119 435,121 241,123 074,124 034,124 833,125 573,126 368,127 244,128 062,128 841,129 848,130 906,131 999,133 278,134 735,136 612,138 269,139 798,141 258,143 992,146 495,149 050,152 130,154 734,157 407,160 035,162 875,165 777,168 746,171 824,174 720,177 665,180 503,183 521,186 365,189 066,191 711,194 123,196 378,198 528,200 520,202 489,204 862,207 468,209 701,211 712,213 656,215 773,217 833,220 035,222 378,224 846,227 515,229 753,231 973,234 090,236 129,238 245,240 428,242 579,244 794,247 113,249 900,253 258,256 656,260 014,263 192,266 310,269 417,272 659,275 859,279 036,282 172,285 082,287 804,290 326,293 046,295 753,298 593,301 580,304 375,307 007,309 347,311 719,314 103,316 427,318 907,321 419
