Série,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Royaume-Uni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indice des prix à la consommation (£, base 2000)",,"0,024","0,019","0,018","0,018","0,021","0,020","0,020","0,021","0,023","0,023","0,023","0,026","0,026","0,023","0,021","0,019","0,021","0,021","0,021","0,019","0,017","0,014","0,015","0,017","0,020","0,018","0,017","0,017","0,017","0,016","0,018","0,016","0,015","0,014","0,014","0,016","0,016","0,017","0,018","0,018","0,018","0,016","0,014","0,014","0,015","0,016","0,018","0,015","0,014","0,014","0,013","0,013","0,014","0,017","0,017","0,017","0,016","0,015","0,015","0,015","0,015","0,015","0,015","0,014","0,015","0,015","0,016","0,016","0,015","0,015","0,016","0,016","0,017","0,016","0,016","0,016","0,016","0,015","0,015","0,015","0,015","0,015","0,015","0,015","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,015","0,015","0,015","0,015","0,015","0,015","0,015","0,015","0,015","0,015","0,016","0,016","0,016","0,016","0,016","0,018","0,021","0,026","0,032","0,035","0,041","0,037","0,032","0,030","0,030","0,030","0,030","0,029","0,029","0,029","0,028","0,027","0,026","0,026","0,026","0,026","0,026","0,027","0,027","0,028","0,033","0,036","0,039","0,040","0,041","0,042","0,044","0,047","0,050","0,052","0,053","0,058","0,064","0,066","0,067","0,070","0,073","0,076","0,078","0,079","0,079","0,082","0,086","0,087","0,090","0,094","0,098","0,101","0,105","0,111","0,118","0,129","0,139","0,151","0,176","0,218","0,254","0,294","0,319","0,362","0,427","0,477","0,518","0,542","0,569","0,604","0,624","0,650","0,682","0,718","0,768","0,825","0,861","0,883","0,900","0,924","0,946","0,964","0,979","0,992","1,000","1,012","1,025","1,039","1,052","1,074","1,099","1,125","1,165","1,191","1,230","1,285","1,322","1,355","1,376","1,376"
Produit intérieur brut (milliards de £),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,13,15,16,17,18,19,21,22,23,25,26,28,29,31,34,37,39,42,46,50,56,63,70,81,92,115,136,159,185,220,258,288,317,348,375,412,444,493,552,609,663,698,721,758,797,837,893,939,980,1 021,1 081,1 121,1 173,1 242,1 305,1 379,1 456,1 531,1 564,1 519,1 572,1 628,1 675,1 740,1 822,1 870
Revenu disponible des ménages (milliards de £),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,10,11,12,12,13,14,15,16,17,18,19,20,21,23,25,26,28,30,32,35,39,45,52,61,76,89,100,118,142,169,189,206,224,244,266,289,308,341,379,424,464,496,525,544,575,611,645,669,697,745,783,806,837,863,898,937,983,1012,1044,1077,1092,1137,1162,1199,1244
Population (milliers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38 237,38 605,38 977,39 352,39 731,40 113,40 500,40 890,41 283,41 681,42 082,42 273,42 464,42 656,42 849,43 044,43 238,43 434,43 631,43 829,44 027,44 224,44 422,44 621,44 821,45 021,45 223,45 425,45 629,45 833,46 038,46 242,46 446,46 652,46 858,47 065,47 274,47 483,47 693,47 904,48 116,48 328,48 542,48 757,48 973,49 189,49 407,49 625,49 845,50 066,50 287,50 465,50 644,50 823,51 003,51 184,51 505,51 827,52 152,52 478,52 807,53 292,53 625,54 000,54 300,54 600,55 000,55 200,55 500,55 600,55 928,56 097,56 223,56 236,56 226,56 216,56 190,56 178,56 240,56 330,56 358,56 291,56 316,56 409,56 554,56 684,56 804,56 916,57 077,57 238,57 439,57 585,57 714,57 862,58 025,58 164,58 314,58 475,58 684,58 886,59 113,59 366,59 637,59 950,60 413,60 827,61 319,61 824,62 261,62 760,63 285,63 705,64 106,64 597,65 110
Nombre de ménages (milliers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 137,8 233,8 330,8 428,8 527,8 628,8 730,8 833,8 937,9 042,9 149,9 232,9 316,9 401,9 487,9 573,9 661,9 749,9 838,9 927,10 018,10 169,10 322,10 477,10 635,10 795,10 958,11 123,11 290,11 460,11 633,11 774,11 917,12 062,12 209,12 357,12 507,12 659,12 813,12 969,13 126,13 286,13 447,13 611,13 776,13 944,14 113,14 285,14 458,14 634,14 812,14 987,15 165,15 344,15 526,15 710,15 896,16 084,16 274,16 467,16 662,16 885,17 110,17 339,17 571,17 805,18 043,18 284,18 529,18 776,19 027,19 191,19 355,19 522,19 690,19 859,20 029,20 202,20 375,20 550,20 727,20 931,21 138,21 346,21 556,21 769,21 983,22 200,22 419,22 640,22 863,23 027,23 192,23 359,23 526,23 695,23 865,24 036,24 208,24 382,24 558,24 747,24 938,25 131,25 325,25 521,25 718,25 916,26 116,26 318,26 521,26 794,27 065,27 337,27 608
Taux d'intérêt à long terme,"4,71%","4,92%","4,23%","4,99%","5,30%","5,04%","4,87%","4,92%","4,55%","4,49%","4,47%","4,67%","5,08%","4,92%","4,92%","4,48%","5,02%","4,10%","3,87%","4,17%","4,42%","4,07%","3,79%","3,80%","3,30%","3,54%","3,79%","3,61%","3,54%","3,34%","3,49%","3,76%","3,58%","3,42%","3,32%","3,29%","3,35%","3,30%","3,23%","3,28%","3,35%","3,38%","3,27%","3,17%","3,03%","3,12%","3,13%","3,44%","3,51%","3,24%","3,11%","3,09%","3,02%","3,07%","3,27%","3,31%","3,22%","3,27%","3,10%","3,15%","3,19%","3,28%","3,23%","3,24%","3,33%","3,35%","3,41%","3,23%","3,20%","3,23%","3,24%","3,23%","3,24%","3,24%","3,24%","3,20%","3,16%","3,15%","3,15%","3,08%","3,05%","3,00%","2,99%","2,97%","2,97%","3,02%","2,98%","2,95%","2,97%","2,81%","2,67%","2,70%","2,65%","2,61%","2,52%","2,39%","2,28%","2,25%","2,28%","2,36%","2,54%","2,67%","2,66%","2,75%","2,83%","2,78%","2,83%","2,97%","2,90%","2,98%","3,08%","3,15%","3,28%","3,39%","3,46%","3,82%","4,31%","4,58%","4,40%","4,62%","5,32%","5,21%","4,43%","4,31%","4,39%","4,43%","4,55%","4,56%","4,47%","4,60%","4,46%","4,53%","3,76%","3,38%","3,08%","2,89%","2,94%","3,28%","3,38%","3,72%","3,40%","3,13%","3,03%","3,10%","3,14%","2,92%","2,60%","2,76%","3,21%","3,30%","3,55%","3,79%","4,23%","4,08%","3,76%","4,17%","4,74%","4,98%","4,98%","4,82%","5,40%","6,20%","8,98%","5,58%","6,03%","6,42%","6,80%","6,69%","7,39%","8,88%","9,16%","9,05%","9,11%","10,85%","14,95%","14,66%","14,25%","12,31%","11,93%","11,39%","11,88%","13,01%","11,90%","10,24%","10,16%","10,11%","9,47%","9,20%","9,01%","9,19%","10,80%","9,87%","9,18%","7,97%","8,03%","8,22%","8,10%","7,12%","5,53%","4,81%","4,82%","4,93%","4,89%","4,53%","4,88%","4,41%","4,50%","5,01%","4,59%","3,65%","3,62%","3,12%","1,92%","2,39%","2,57%","1,90%"
Taux d'intérêt à court terme,"5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","5,00%","4,00%","4,00%","3,50%","3,88%","4,50%","3,25%","3,05%","3,35%","2,81%","3,69%","3,12%","2,75%","3,37%","3,70%","4,25%","4,45%","3,00%","5,10%","5,00%","4,90%","3,33%","2,18%","2,12%","2,96%","3,80%","5,88%","3,20%","2,31%","2,25%","3,06%","1,89%","3,68%","4,95%","4,73%","6,01%","6,60%","2,60%","2,61%","4,10%","5,00%","1,49%","4,40%","7,29%","4,79%","6,60%","2,16%","1,88%","3,06%","3,06%","2,62%","3,90%","4,49%","3,41%","2,89%","1,89%","2,35%","3,23%","1,76%","2,30%","2,90%","3,38%","3,03%","2,40%","2,14%","2,12%","2,39%","2,36%","2,69%","3,74%","2,51%","1,53%","2,19%","0,99%","0,81%","1,50%","1,80%","2,62%","3,26%","3,70%","3,17%","2,97%","3,40%","2,68%","2,63%","4,04%","4,46%","2,26%","2,26%","3,18%","2,92%","3,63%","4,37%","2,93%","3,64%","5,20%","4,77%","3,58%","3,95%","6,38%","5,19%","2,63%","2,71%","3,44%","4,14%","4,46%","4,24%","4,16%","5,26%","2,56%","3,61%","1,87%","0,69%","0,82%","0,58%","0,60%","0,59%","0,63%","1,22%","1,04%","1,03%","1,03%","1,03%","1,03%","0,95%","0,53%","0,53%","0,56%","0,60%","0,67%","0,92%","2,70%","2,78%","1,84%","3,75%","5,05%","4,98%","4,75%","3,49%","5,05%","5,44%","4,31%","3,79%","4,77%","6,37%","6,41%","6,02%","7,38%","8,41%","8,05%","6,22%","6,48%","11,48%","13,43%","10,67%","11,39%","8,16%","9,25%","13,68%","16,61%","13,94%","12,25%","10,12%","9,96%","12,23%","10,93%","9,70%","10,35%","13,89%","14,77%","11,51%","9,62%","5,93%","5,50%","6,68%","6,02%","6,84%","7,34%","5,44%","6,11%","4,97%","3,99%","3,67%","4,58%","4,69%","4,80%","5,96%","5,50%","1,19%","0,69%","0,89%","0,84%","0,49%","0,54%","0,55%"
"Indice du prix des logements, gouvernement (£, base 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,018","0,018","0,019","0,019","0,020","0,020","0,021","0,022","0,024","0,026","0,028","0,031","0,033","0,034","0,037","0,040","0,042","0,045","0,051","0,070","0,095","0,101","0,107","0,117","0,125","0,144","0,190","0,228","0,240","0,244","0,277","0,302","0,330","0,373","0,438","0,549","0,661","0,655","0,647","0,623","0,606","0,623","0,624","0,644","0,703","0,786","0,872","1,000","1,088","1,268","1,466","1,643","1,732","1,841","2,046","2,029","1,872","2,010","1,979","2,007","2,081","2,293","2,429"
"Indice du prix des logements, Halifax (£, base 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,357","0,382","0,418","0,466","0,541","0,666","0,808","0,806","0,796","0,750","0,728","0,732","0,718","0,753","0,803","0,847","0,910","1,000","1,088","1,320","1,568","1,862","1,957","2,125","2,313","2,094","1,903","1,958","1,907","1,890","1,980","2,154","2,350"
Nombre de logements terminés (unités),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205 260,205 430,201 860,248 320,326 820,354 130,324 420,307 670,307 590,278 630,281 570,304 260,303 190,313 640,307 710,383 190,391 230,396 010,415 460,425 830,378 330,362 230,364 480,330 940,304 640,279 630,322 000,324 840,314 160,288 690,251 820,242 000,206 630,182 850,209 030,220 410,207 470,216 540,226 230,242 360,221 460,202 500,191 020,179 100,185 650,193 000,199 120,189 030,191 110,181 020,181 990,176 850,174 080,181 960,190 490,203 490,209 580,212830,226 420,188 310,158 370,136 590,140 600,141 520,135 330,144 890,173 167
€ en £,,,,"26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","26,238","24,771","23,387","23,994","24,527","20,623","12,447","12,632","12,025","8,662","7,693","6,394","4,296","5,296","5,286","5,289","5,295","5,672","7,353","7,754","9,686","8,832","7,905","5,272","3,845","3,713","3,714","2,711","1,665","1,224","1,093","1,451","0,811","0,904","0,633","0,613","0,717","0,680","0,649","0,628","0,659","0,661","0,629","0,576","0,513","0,475","0,478","0,479","0,479","0,480","0,480","0,481","0,478","0,484","0,554","0,528","0,495","0,487","0,520","0,601","0,585","0,690","0,762","0,765","0,759","0,727","0,668","0,600","0,571","0,568","0,564","0,568","0,646","0,667","0,619","0,628","0,677","0,659","0,703","0,771","0,773","0,833","0,821","0,686","0,672","0,658","0,609","0,622","0,629","0,692","0,678","0,684","0,682","0,684","0,794","0,890","0,857","0,868","0,811","0,849","0,806","0,726"
